id,object_id,valuation_amount,raised_amount,public_at,stock_symbol,source_description,created_at,updated_at,ipo_year,ipo_month
1,c:1654,0.0,0.0,1980-12-19,NASDAQ:AAPL,,2008-02-09 05:17:45,2012-04-12 04:02:59,1980,12
2,c:1242,0.0,0.0,1986-03-13,NASDAQ:MSFT,,2008-02-09 05:25:18,2010-12-11 12:39:46,1986,3
3,c:342,0.0,0.0,1969-06-09,NYSE:DIS,,2008-02-09 05:40:32,2010-12-23 08:58:16,1969,6
4,c:59,0.0,0.0,2004-08-25,NASDAQ:GOOG,,2008-02-10 22:51:24,2011-08-01 20:47:08,2004,8
5,c:317,100000000000.0,0.0,1997-05-01,NASDAQ:AMZN,,2008-02-10 23:28:09,2011-08-01 21:11:22,1997,5
6,c:1438,350000000.0,87000000.0,2006-09-29,SFLY,,2008-02-11 06:03:56,2013-05-20 03:48:47,2006,9
7,c:2644,160000000.0,0.0,2006-05-01,DIVX,,2008-02-25 23:52:11,2008-06-15 02:58:53,2006,5
8,c:2584,0.0,0.0,2004-03-01,OPESF,,2008-02-27 20:22:31,2012-05-08 00:09:32,2004,3
9,c:2720,0.0,0.0,1999-12-02,XOXO,,2008-02-29 00:31:34,2011-08-22 02:11:44,1999,12
10,c:3316,6000000000.0,0.0,1988-08-12,NASDAQ:BMC,,2008-03-18 14:07:10,2013-10-21 18:08:28,1988,8
11,c:2537,0.0,0.0,1993-03-19,NASDAQ:INTU,,2008-03-22 19:10:01,2012-04-13 04:23:15,1993,3
12,c:475,235000000.0,0.0,2010-07-27,KITD,,2008-03-24 21:13:36,2011-08-28 01:57:06,2010,7
13,c:283,0.0,0.0,1986-08-22,NASDAQ:ADBE,,2008-03-25 21:34:12,2012-04-13 04:26:43,1986,8
14,c:3619,0.0,0.0,2000-01-01,CMNN,,2008-03-26 08:04:35,2008-06-15 03:05:38,2000,1
15,c:3658,2000000000.0,0.0,1992-01-01,BKS,,2008-03-27 19:10:30,2008-06-15 03:06:09,1992,1
16,c:108,0.0,254111.0,2007-06-22,BLNX,,2008-03-27 22:02:50,2012-05-02 05:20:28,2007,6
17,c:3754,0.0,0.0,1987-06-16,FORR,cjhznoa,2008-03-30 16:44:42,2012-08-01 08:41:51,1987,6
18,c:3952,0.0,0.0,2000-01-01,TSG,,2008-04-04 20:08:26,2008-07-31 23:41:50,2000,1
19,c:4018,4000000000.0,0.0,2005-08-05,NASDAQ:BIDU,,2008-04-07 23:30:28,2010-11-18 10:19:58,2005,8
20,c:2335,0.0,0.0,2002-05-23,NASDAQ:NFLX,Harvard Business Review,2008-04-12 21:22:08,2012-08-09 08:24:14,2002,5
21,c:29,0.0,0.0,1996-04-12,NASDAQ:YHOO,,2008-04-12 21:23:29,2013-08-26 04:45:07,1996,4
22,c:351,0.0,0.0,2009-12-04,NYSE:AOL,,2008-04-12 21:25:47,2012-02-24 22:01:26,2009,12
23,c:424,0.0,0.0,1999-09-29,NASDAQ:AKAM,,2008-04-13 14:59:34,2010-11-15 13:18:13,1999,9
24,c:20,0.0,0.0,1998-10-02,NASDAQ:EBAY,,2008-04-13 15:12:37,2012-04-12 04:24:15,1998,10
25,c:1972,110000000.0,0.0,2004-07-02,NYSE:CRM,,2008-04-14 05:04:07,2012-04-13 03:44:42,2004,7
26,c:966,0.0,0.0,1986-04-11,NYSE:EMC,,2008-04-14 18:09:40,2012-04-12 04:00:48,1986,4
27,c:500,100000000.0,0.0,2006-08-01,JTV,,2008-04-16 16:56:08,2008-04-16 16:56:08,2006,8
