dataset,column,rows,missing_count,missing_percent,unique_values,data_type
acquisitions,id,9562,0,0.0,9562,int64
acquisitions,acquisition_id,9562,0,0.0,9562,int64
acquisitions,acquiring_object_id,9562,0,0.0,4872,object
acquisitions,acquired_object_id,9562,1,0.01,9411,object
acquisitions,term_code,9562,7656,80.07,3,object
acquisitions,price_amount,9562,0,0.0,1067,float64
acquisitions,price_currency_code,9562,4,0.04,7,object
acquisitions,acquired_at,9562,29,0.3,2642,object
acquisitions,source_url,9562,996,10.42,8341,object
acquisitions,source_description,9562,972,10.17,8101,object
acquisitions,created_at,9562,0,0.0,9293,object
acquisitions,updated_at,9562,0,0.0,9245,object
funds,id,1564,0,0.0,1564,int64
funds,fund_id,1564,0,0.0,1564,int64
funds,object_id,1564,0,0.0,1026,object
funds,name,1564,0,0.0,1313,object
funds,funded_at,1564,115,7.35,780,object
funds,raised_amount,1564,0,0.0,530,float64
funds,raised_currency_code,1564,0,0.0,7,object
funds,source_url,1564,292,18.67,1205,object
funds,source_description,1564,346,22.12,1102,object
funds,created_at,1564,0,0.0,1477,object
funds,updated_at,1564,0,0.0,1408,object
investments,id,80902,0,0.0,80902,int64
investments,funding_round_id,80902,0,0.0,33188,int64
investments,funded_object_id,80902,0,0.0,21607,object
investments,investor_object_id,80902,0,0.0,17152,object
investments,created_at,80902,0,0.0,32649,object
investments,updated_at,80902,0,0.0,28647,object
ipos,id,1259,0,0.0,1259,int64
ipos,ipo_id,1259,0,0.0,1259,int64
ipos,object_id,1259,5,0.4,1253,object
ipos,valuation_amount,1259,0,0.0,102,float64
ipos,valuation_currency_code,1259,2,0.16,5,object
ipos,raised_amount,1259,0,0.0,114,float64
ipos,raised_currency_code,1259,560,44.48,5,object
ipos,public_at,1259,600,47.66,517,object
ipos,stock_symbol,1259,0,0.0,1247,object
ipos,source_url,1259,1068,84.83,191,object
ipos,source_description,1259,1079,85.7,177,object
ipos,created_at,1259,0,0.0,1258,object
ipos,updated_at,1259,0,0.0,1257,object
objects,id,209261,0,0.0,209261,object
objects,entity_type,209261,0,0.0,3,object
objects,entity_id,209261,0,0.0,200201,int64
objects,parent_id,209261,209261,100.0,0,float64
objects,name,209261,4,0.0,209083,object
objects,normalized_name,209261,9,0.0,207819,object
objects,permalink,209261,0,0.0,209219,object
objects,category_code,209261,86075,41.13,42,object
objects,status,209261,0,0.0,4,object
objects,founded_at,209261,113429,54.2,6238,object
objects,closed_at,209261,206641,98.75,925,object
objects,domain,209261,75158,35.92,132705,object
objects,homepage_url,209261,75158,35.92,133345,object
objects,twitter_username,209261,126285,60.35,81821,object
objects,logo_url,209261,91459,43.71,117802,object
objects,logo_width,209261,1,0.0,3359,float64
objects,logo_height,209261,1,0.0,2156,float64
objects,short_description,209261,201644,96.36,7614,object
objects,description,209261,114256,54.6,85369,object
objects,overview,209261,74977,35.83,134105,object
objects,tag_list,209261,126182,60.3,80593,object
objects,country_code,209261,114218,54.58,177,object
objects,state_code,209261,154501,73.83,51,object
objects,city,209261,118577,56.66,11077,object
objects,region,209261,1,0.0,5977,object
objects,first_investment_at,209261,199054,95.12,2522,object
objects,last_investment_at,209261,199054,95.12,2213,object
objects,investment_rounds,209261,1,0.0,165,float64
objects,invested_companies,209261,1,0.0,130,float64
objects,first_funding_at,209261,177754,84.94,3208,object
objects,last_funding_at,209261,177754,84.94,2978,object
objects,funding_rounds,209261,1,0.0,16,float64
objects,funding_total_usd,209261,1,0.0,9721,float64
objects,first_milestone_at,209261,116291,55.57,4103,object
objects,last_milestone_at,209261,116291,55.57,3974,object
objects,milestones,209261,1,0.0,10,float64
objects,relationships,209261,1,0.0,172,float64
objects,created_by,209261,42321,20.22,56279,object
objects,created_at,209261,1,0.0,192960,object
objects,updated_at,209261,1,0.0,195447,object
funding_rounds,id,52928,0,0.0,52928,int64
funding_rounds,funding_round_id,52928,0,0.0,52928,int64
funding_rounds,object_id,52928,0,0.0,31939,object
funding_rounds,funded_at,52928,248,0.47,3399,object
funding_rounds,funding_round_type,52928,0,0.0,9,object
funding_rounds,funding_round_code,52928,0,0.0,20,object
funding_rounds,raised_amount_usd,52928,0,0.0,10545,float64
funding_rounds,raised_amount,52928,0,0.0,7424,float64
funding_rounds,raised_currency_code,52928,3066,5.79,8,object
funding_rounds,pre_money_valuation_usd,52928,0,0.0,27,float64
funding_rounds,pre_money_valuation,52928,0,0.0,27,float64
funding_rounds,pre_money_currency_code,52928,26045,49.21,1,object
funding_rounds,post_money_valuation_usd,52928,0,0.0,468,float64
funding_rounds,post_money_valuation,52928,0,0.0,378,float64
funding_rounds,post_money_currency_code,52928,22480,42.47,7,object
funding_rounds,participants,52928,0,0.0,32,int64
funding_rounds,is_first_round,52928,0,0.0,2,int64
funding_rounds,is_last_round,52928,0,0.0,2,int64
funding_rounds,source_url,52928,12546,23.7,38915,object
funding_rounds,source_description,52928,9489,17.93,27206,object
funding_rounds,created_by,52928,4637,8.76,5520,object
funding_rounds,created_at,52928,0,0.0,51636,object
funding_rounds,updated_at,52928,0,0.0,44699,object
